base	base_kind	operators	fields	written_fields	observed_extent	name_evidence	operator_names
0x005a7b78	indirect	20	37	17	0xaa0	unit:8,player:2,faith:1,net:1	changeplayerintelinfo,enternetpikfaithscreen,enummemorystatistics,getunithitpoints,getunitlevelrange,getunitmovementpoints,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,getunittypelevelrange,instantkillprisoner,knockoutprisoners,memorystatistics,needhealing?,removeunits,reseteoturn,restorehealth,select_new_play,setplayerintelinfo,setqueststatus
0x005cd2f4	indirect	20	4	0	0x14c	unit:15,terrain:4,sound:2,army:1,faith:1	addextramilitaryunitnow,addfaithselection,addunit,addunitnow,aimedattack,berserk,clearunitacks,getarmyshare,getaveunithealth,getunittypecount,getunittypedata,getunittypesound,getunittypeterraincost,getunittypeterraindelay,setunittypedata,setunittypesound,setunittypeterraincost,setunittypeterraindelay,subdue,unitsnapshot
0x005a9e04	static	17	82	39	0x1d4	imp:1,map:1	center_toolip_quick,disablemap,hidecursor,loadcursorimp,repositionmouse,resettooltip,setcursortype,settooltipborders,setwindowswaitcursorstate,showcursor,showwindowscursor,startdragbox,stopdragbox,stoptooltip,tooltip,tooltip_quick,windowswaitcursorsleep
0x005aeed0	static	14	3	2	0xc	-	championbrainnotify,championbrainresponsecode,championhasbrain?,enummatchingchampionbrains,findmatchingbrain,getchampionbrainarg,getchampionbrainavailable,getchampionbrainname,ischampionbrainargvalid?,removechampionbrain,rerunbrain,setchampionbrain,setchampionbrainarg,setchampionbrainavailable
0x005aee6c	static	12	3	1	0xc	spell:9	addspelldef,defensivemultitargetloc,disablespell,enableallspells,enablespell,enumpossibleresearchtopics,getspelldefdata,getspellname,isdisabledspell?,researchpossiblehere?,setspelldefdata,startspellmode
0x00579458	static	11	2	2	0x48	army:3,map:2,combat:1	actual2relative,armyactual2relative,armyrelative2actual,distractarmyorder,distractorder,movetorefmap,relative2actual,resetcombat,safemovetorefmap,stayputatrefloc,waypointsattack
0x005ae8e8	static	10	16	8	0x4d	city:6,army:1,map:1	closecitygate,defendingcitycornerwalldirection,defendingcityfrontwalldirection,defendingcitysidewalldirection,getgatearmy,getgateinfo,opencitygate,rotatemap,setcitywallpieces,setgatepieces
0x005ae98c	indirect	9	18	0	0x5d0	combat:4,city:2,unit:2,player:1	combat_deadtarget,combat_enumgrouparmies,enumrallyarmies,getavecombatunitdata,getchampiontarget,getcombatunitlevel,getmissiletarget,isplayerinsidecity?,preparedefendingcity
0x005cd358	static	9	7	5	0x4c14	net:3,faith:1	clearmessages,connecttosigs,connecttostorm,disconnect,enternetpikfaithscreen,matchguids,netcomputersassigned,requestleader,resetnetworking
0x005cd2e0	static	7	3	3	0xc	-	addquest,addquestdefinition,getquestdefinition,getqueststatus,removequest,setmaxquesttypes,setqueststatus
0x005cd31c	static	7	3	3	0xc	building:7	canaffordbuilding_getresourcesinfo,canbuildbuilding?,canupgradebuilding_getresourcesinfo,costbuildbuilding,createbuildingrequirementslist,enumbuildbuilding,setbuildingrequirements
0x005869f4	indirect	6	28	12	0x5b8	army:3,unit:3	addvirtualunit,createvirtualarmy,getvirtualarmyid,loaddefaultarmy,removevirtualunit,virtualunitselectspeak
0x005aa1f0	static	6	3	3	0xc	net:1	addhelppanel,getcheckmarkstate,maxhelppanels,onetimeonly,togglehelpcheck,uncheckallhelppanels
0x005adc50	static	6	109	100	0xc38	unit:2,combat:1	getfatebits,getfatecount,getunitfate,incombatautocalc,setunitfate,testautocalc
0x005aeedc	static	6	3	1	0xc	-	addquest,clearquests,enumquests,getqueststatus,removequest,setqueststatus
0x005869f4	static	5	10	2	0x2f9	army:4,save:2,map:1,unit:1	loaddefaultarmy,loadvirtualarmy,mapvirtualunits,savedefaultarmy,savevirtualarmy
0x005aa1dc	static	5	3	2	0xc	faith:5,army:1	addfaithselection,clearfaithselection,getfaitharmy,getfaithcenterlocation,getfaithstartlocation
0x005ae94c	indirect	5	1	0	0x2c	building:4,city:2,faith:1	buybuilding,buybuildingoffaith,enumchildren,setcitybuilding,setcitybuildingdata
0x005ae970	indirect	5	1	0	0x4	army:1	kickarmyout,locationindirection,moveaway,moveout,movetoward
0x005aef04	indirect	5	2	0	0x6	city:1,sprite:1	connectedbyland,connectedbywater,numturnstoreachcity,numturnstoreachsprite,testvisit
0x005cd340	static	5	3	3	0xc	artifact:5	artifacttype,createartifact,createartifactnow,enumartifacttypes,setmaxartifacttypes
0x005788c4	indirect	4	2	0	0x14	artifact:4,player:1	getcurrentartifactdata,getcurrentartifactvalue,iscurrentartifactknowntoplayer?,iscurrentartifactwielded?
0x00584ca8	static	4	6	6	0x1c	-	lightning,loadlightningpal,maxlightningpals,setmaxlightningbolts
0x00584cc4	static	4	3	3	0xc	-	addhotkey,gethotkey,removehotkey,setmaxhotkeys
0x00584d60	static	4	1	0	0x4	save:1	clearscriptwindow,closescriptwindow,savescriptwindow,updatescriptwindow
0x005863c8	static	4	5	4	0x18	-	playmusicnorepeat,setplaybacktimer,settimeraccuracy,stopmusic
0x005867c0	static	4	14	8	0x234	-	playvideo,playvideo_stretch,playvideoshutdown,stopvideo
0x005aeea0	static	4	3	2	0x10	-	canceleventalarm,eventalarm,findeventalarm,neventalarm
0x005cd2ec	static	4	3	3	0xc	unit:4	countunittypes,getunittypecodecount,maxunittypes,unittype
0x005cd304	static	4	3	3	0xc	sprite:4,terrain:4	addterrainspritetype,getterrainspritetypedata,maxterrainspritetypes,setterrainspritetypedata
0x005cd34c	static	4	3	3	0xc	map:2	addreferencepalette,maxreferencepalettes,remap,setremapdata
0x005864f4	static	3	2	2	0x8	-	setplaybacktimer,settimeraccuracy,stopspeech
0x005aa1e4	indirect	3	5	0	0x20	faith:3,army:1	getfaitharmy,getfaithcenterlocation,getfaithstartlocation
0x005aea30	static	3	10	1	0x30	terrain:3	getterrain,getterraintypename,isvalidterraintype?
0x005aee78	static	3	5	5	0x14	combat:1	cancelendofcombattickalarms,canceltickalarm,tickalarm
0x005cd310	static	3	3	3	0xc	building:3	addbuildinginfo,createbuildinginfolist,setbuildingposition
0x0055b1b0	indirect	2	53	52	0x5d8	army:2	createtemparmy,createvirtualarmy
0x0058516c	indirect	2	1	0	0x4	-	blttest,testalpha
0x005863bc	static	2	3	3	0xc	sound:2	addsoundfx,setmaxsoundfx
0x005aa78c	indirect	2	1	0	0x40	army:2	getlosingarmy,getwinningarmy
0x005aad68	indirect	2	1	0	0x40	army:2	getlosingarmy,getwinningarmy
0x005ae998	indirect	2	8	0	0x5ad	combat:2,player:1	combat_grouploc,combat_playerdeadtarget
0x005aec60	static	2	1	1	0x4	-	getscenarioproperty,setscenarioproperty
0x005aee8c	static	2	4	3	0x10	-	cancelturnalarm,turnalarm
0x005aeeb0	static	2	4	3	0x10	-	cancelmovealarm,movealarm
0x005aeec0	static	2	4	3	0x10	-	canceldiscoveralarm,discoveralarm
0x005ccedc	static	2	4	0	0x11	army:1	addbestetaattackrequest,addclosestarmyrequest
0x005cd2f8	static	2	3	3	0xc	-	addmissiletype,maxmissiletypes
0x005cd328	static	2	3	3	0xc	-	addmounttype,maxmounttypes
0x005cd334	static	2	3	3	0xc	-	addauratype,maxauratypes
0x005d2f10	static	2	2	0	0x8	unit:2	getunittypedata,setunittypedata
0x00555d70	indirect	1	1	0	0x1	artifact:1	validcurrentartifact?
0x00555d74	indirect	1	3	0	0xe4	artifact:1	validcurrentartifact?
0x005564c8	static	1	2	2	0x8	-	setsatellitechildoffsets
0x005564e0	static	1	2	2	0x8	city:1	setcitychildoffsets
0x0055cb50	static	1	1	1	0x4	imp:1,map:1	setmapretreatimp
0x0055e7f0	static	1	2	0	0x8	-	memorystatistics
0x0055e92c	static	1	1	0	0x4	-	enummemorystatistics
0x00573c38	static	1	1	0	0x4	-	unloadboat
0x005787ac	indirect	1	2	0	0x48	-	attackfacingvalue
0x005787b0	indirect	1	1	0	0x20	-	attackfacingvalue
0x005787b8	static	1	2	0	0x8	-	setformation
0x00583ac0	indirect	1	1	0	0x71	-	missilewasaimed?
0x00585170	indirect	1	1	0	0x4	-	locktest
0x00585174	indirect	1	1	0	0x4	-	playvideo_stretch
0x005854fc	static	1	1	0	0x4	sound:1	issoundplaying
0x005869f8	static	1	1	0	0x4	unit:1	addvirtualunit
0x005876d0	indirect	1	1	0	0x2c	combat:1	resetcombat
0x005a79f0	static	1	9	3	0x24	region:1	adddirtyregion
0x005a7b54	indirect	1	1	0	0x4	-	button
0x005a9ddc	static	1	2	1	0x24	-	cancelpathballs
0x005aa08c	static	1	8	2	0x8c	-	geteditdata
0x005aa64c	static	1	19	18	0x33	-	setmultiscenarioname
0x005aad68	static	1	15	14	0x59c	army:1	cleardefenderarmy
0x005ae8a0	indirect	1	1	0	0x2c	city:1,combat:1	getcityincombat
0x005ae924	indirect	1	2	0	0x6	city:1	preparedefendingcity
0x005ae928	indirect	1	2	0	0x6	city:1	preparedefendingcity
0x005ae9bc	indirect	1	1	0	0x8	-	getgridflags
0x005aea50	indirect	1	1	0	0x4	terrain:1	isvalidterraintype?
0x005aee6c	indirect	1	3	0	0x14	-	enumpossibleresearchtopics
0x005aee70	indirect	1	1	1	0x4	spell:1	enableallspells
0x005ccd74	static	1	1	0	0x4	unit:1	numattackerunits
0x005cce28	static	1	1	0	0x4	unit:1	numdefenderunits
0x005ccff4	static	1	1	1	0x4	spell:1	spellrequest
0x005cd18c	static	1	1	1	0x4	unit:1	addextramilitaryunitnow
0x005cd1ac	static	1	1	0	0x2	-	check_level_explored
0x005d3820	static	1	1	1	0x4	-	enumfiles
0x005d3830	static	1	7	7	0x20	-	testvisit
0x005d3830	indirect	1	1	0	0x4	-	testvisit
0x005d3834	indirect	1	1	1	0x4	-	testvisit
