name	kind	evidence	profiles	member	line	byte-offset	registered-in	display-name	display-source	fields	references	anchor
chakram_of_entropy	artifact	registered-by-operator	vanilla,patch302	gs\artifact\chakentr.gs	1	0	gs\artifact.gs	Chakram of Entropy	declared-name	19	6	artifact-chakram-of-entropy
chalice_chaos	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\chalice_chaos.gs	1	0	gs\artifact.gs	Chalice of Chaos	declared-name	34	10	artifact-chalice-chaos
chalice_life	artifact	registered-by-operator	gs5r3	gs\artifact\LIFE\chalice_life.gs	1	0	gs\artifact.gs	Chalice of Life	declared-name	34	5	artifact-chalice-life
chalice_of_life	artifact	registered-by-operator	vanilla,patch302	gs\artifact\challife.gs	1	0	gs\artifact.gs	Chalice Of Life	declared-name	18	6	artifact-chalice-of-life
chalice_rocca	artifact	registered-by-operator	gs5r3	gs\artifact\WATER\chalice_rocca.gs	1	0	gs\artifact.gs	Rocca's Chalice	declared-name	32	6	artifact-chalice-rocca
champion_stat_bonus	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\champion_stat_bonus.gs	1	0	gs\artifact.gs	Stat Bonus (Combat Only)	declared-name	17	1	artifact-champion-stat-bonus
choice_artifact	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\choiceart.gs	1	0	gs\artifact.gs	-	-	13	5	artifact-choice-artifact
cloak_flame	artifact	registered-by-operator	gs5r3	gs\artifact\FIRE\cloak_flame.gs	1	0	gs\artifact.gs	Cloak of the Eternal Flame	declared-name	33	11	artifact-cloak-flame
cloak_justice	artifact	registered-by-operator	gs5r3	gs\artifact\ORDER\cloak_justice.gs	1	0	gs\artifact.gs	Cloak of Justice	declared-name	32	9	artifact-cloak-justice
cloak_lich	artifact	registered-by-operator	gs5r3	gs\artifact\DEATH\cloak_lich.gs	1	0	gs\artifact.gs	Cloak of the Lich	declared-name	34	13	artifact-cloak-lich
cloak_spirit	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\cloak_spirit.gs	1	0	gs\artifact.gs	Raimant of the Spirits	declared-name	27	15	artifact-cloak-spirit
cloak_wyrm	artifact	registered-by-operator	gs5r3	gs\artifact\EARTH\cloak_wyrm.gs	1	0	gs\artifact.gs	Cloak of the Wyrm	declared-name	33	9	artifact-cloak-wyrm
cloaktarn	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\cloaktarn.gs	1	0	gs\artifact.gs	Cloak of Tarnhelm	text-table	14	2	artifact-cloaktarn
cloudstaff	artifact	registered-by-operator	vanilla,patch302	gs\artifact\cloudstf.gs	1	0	gs\artifact.gs	Cloudstaff	declared-name	18	10	artifact-cloudstaff
cloudsteam_artifact	artifact	registered-by-operator	vanilla,patch302	gs\artifact\cloustart.gs	1	0	gs\artifact.gs	Cloud Steam	declared-name	13	2	artifact-cloudsteam-artifact
combat_attacking	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\combat_attacking.gs	1	0	gs\artifact.gs	Combat Attacking	declared-name	19	1	artifact-combat-attacking
combat_defending	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\combat_defending.gs	1	0	gs\artifact.gs	Combat Defending	declared-name	19	1	artifact-combat-defending
coral_shield	artifact	registered-by-operator	vanilla,patch302	gs\artifact\corlshld.gs	1	0	gs\artifact.gs	Coral Shield	declared-name	17	5	artifact-coral-shield
crossbow_balance	artifact	registered-by-operator	gs5r3	gs\artifact\ORDER\crossbow_balance.gs	1	0	gs\artifact.gs	Legendary - Crossbow of Balance	declared-name	33	5	artifact-crossbow-balance
crossbow_flamethrower	artifact	registered-by-operator	gs5r3	gs\artifact\FIRE\crossbow_flamethrower.gs	1	0	gs\artifact.gs	Legendary - Flame Thrower	declared-name	33	5	artifact-crossbow-flamethrower
crossbow_of_balance	artifact	registered-by-operator	vanilla,patch302	gs\artifact\crossbal.gs	1	0	gs\artifact.gs	Greater Artifact - Crossbow of Balance	declared-name	18	5	artifact-crossbow-of-balance
crown_kings	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\crown_kings.gs	1	0	gs\artifact.gs	Crown of Kings	declared-name	33	6	artifact-crown-kings
crown_noble	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\crown_noble.gs	1	0	gs\artifact.gs	Noble Crown	declared-name	32	6	artifact-crown-noble
crystal_ring	artifact	registered-by-operator	vanilla,patch302	gs\artifact\crysring.gs	1	0	gs\artifact.gs	Crystal Ring	declared-name	18	7	artifact-crystal-ring
crystalmight	artifact	registered-by-operator	vanilla,patch302	gs\artifact\crysmigt.gs	1	0	gs\artifact.gs	Crystalmight	declared-name	16	5	artifact-crystalmight
dagger_aqua	artifact	registered-by-operator	gs5r3	gs\artifact\WATER\dagger_aqua.gs	1	0	gs\artifact.gs	Aqua Dagger	declared-name	30	5	artifact-dagger-aqua
dagger_death	artifact	registered-by-operator	gs5r3	gs\artifact\DEATH\dagger_death.gs	1	0	gs\artifact.gs	Death Dagger	declared-name	30	6	artifact-dagger-death
dagger_faerie	artifact	registered-by-operator	gs5r3	gs\artifact\AIR\dagger_faerie.gs	1	0	gs\artifact.gs	Faerie Dagger	declared-name	30	5	artifact-dagger-faerie
dagger_flint	artifact	registered-by-operator	gs5r3	gs\artifact\FIRE\dagger_flint.gs	1	0	gs\artifact.gs	Flint Dagger	declared-name	31	4	artifact-dagger-flint
dagger_huntress	artifact	registered-by-operator	gs5r3	gs\artifact\CHAOS\dagger_huntress.gs	1	0	gs\artifact.gs	Huntress Dagger	declared-name	30	7	artifact-dagger-huntress
dagger_life_steal	artifact	registered-by-operator	gs5r3	gs\artifact\DEATH\dagger_life_steal.gs	1	0	gs\artifact.gs	Legendary - Life Stealing Blade	declared-name	34	8	artifact-dagger-life-steal
dagger_light	artifact	registered-by-operator	gs5r3	gs\artifact\LIFE\dagger_light.gs	1	0	gs\artifact.gs	Light Dagger	declared-name	30	5	artifact-dagger-light
dagger_rusted	artifact	registered-by-operator	gs5r3	gs\artifact\EARTH\dagger_rusted.gs	1	0	gs\artifact.gs	Rusted Dagger	declared-name	32	6	artifact-dagger-rusted
dagger_silver	artifact	registered-by-operator	gs5r3	gs\artifact\ORDER\dagger_silver.gs	1	0	gs\artifact.gs	Silver Dagger	declared-name	37	8	artifact-dagger-silver
darkblade	artifact	registered-by-operator	vanilla,patch302	gs\artifact\darkblad.gs	1	0	gs\artifact.gs	Darkblade	declared-name	18	8	artifact-darkblade
death_dagger	artifact	registered-by-operator	vanilla,patch302	gs\artifact\deathdag.gs	1	0	gs\artifact.gs	Death Dagger	declared-name	17	8	artifact-death-dagger
dragart	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\dragart.gs	1	0	gs\artifact.gs	drag	declared-name	14	2	artifact-dragart
dragon_scale	artifact	registered-by-operator	vanilla,patch302	gs\artifact\dragscal.gs	1	0	gs\artifact.gs	Dragonscale Armor	declared-name	18	8	artifact-dragon-scale
dragonban	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\dragonban.gs	1	0	gs\artifact.gs	Dragon Banner	text-table	17	3	artifact-dragonban
dreamscrl	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\dreamscrl.gs	1	0	gs\artifact.gs	The Marvellous Vision	text-table	13	2	artifact-dreamscrl
dummy0_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\dummy_artifact.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	18	1	artifact-dummy0-artifact
dummy1_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\dummy_artifact.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	18	1	artifact-dummy1-artifact
dummy2_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\dummy_artifact.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	18	1	artifact-dummy2-artifact
dummy3_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\dummy_artifact.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	18	1	artifact-dummy3-artifact
dummy4_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\dummy_artifact.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	18	1	artifact-dummy4-artifact
dummy5_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\dummy_artifact.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	18	1	artifact-dummy5-artifact
dummy6_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\dummy_artifact.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	18	1	artifact-dummy6-artifact
dummy7_artifact	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\dummy_artifact.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	18	1	artifact-dummy7-artifact
dwarvenplate	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\dwarvenpl.gs	1	0	gs\artifact.gs	+1 Dwarven Plate Mail	declared-name	13	2	artifact-dwarvenplate
ebelsletter	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\ebelsletter.gs	1	0	gs\artifact.gs	Sir Ebel's Letter	text-table	13	2	artifact-ebelsletter
ebony_plate	artifact	registered-by-operator	vanilla,patch302	gs\artifact\ebonplat.gs	1	0	gs\artifact.gs	Ebony Plate of the Void	declared-name	18	7	artifact-ebony-plate
elven_chain	artifact	registered-by-operator	vanilla,patch302	gs\artifact\elvnchai.gs	1	0	gs\artifact.gs	Elven Chain Mail	declared-name	17	21	artifact-elven-chain
eternal_flame	artifact	registered-by-operator	vanilla,patch302	gs\artifact\eterflam.gs	1	0	gs\artifact.gs	Eternal Flame	declared-name	20	7	artifact-eternal-flame
excalibr	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\excalibr.gs	1	0	gs\artifact.gs	Excalibur and Scabbard	text-table	18	3	artifact-excalibr
eyes_of_the_hawk	artifact	registered-by-operator	vanilla,patch302	gs\artifact\eyeshawk.gs	1	0	gs\artifact.gs	Eyes of the Hawk	declared-name	18	5	artifact-eyes-of-the-hawk
faerie_ring	artifact	registered-by-operator	vanilla,patch302	gs\artifact\faerring.gs	1	0	gs\artifact.gs	Faerie Ring	declared-name	18	7	artifact-faerie-ring
feather_chain	artifact	registered-by-operator	vanilla,patch302	gs\artifact\feachain.gs	1	0	gs\artifact.gs	Feather Chain Mail	declared-name	13	6	artifact-feather-chain
flameshaft	artifact	registered-by-operator	vanilla,patch302	gs\artifact\flameshf.gs	1	0	gs\artifact.gs	Flameshaft	declared-name	18	10	artifact-flameshaft
flint_ring	artifact	registered-by-operator	vanilla,patch302	gs\artifact\flintrng.gs	1	0	gs\artifact.gs	Flint Ring	declared-name	18	7	artifact-flint-ring
gaidonart	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\gaidonart.gs	1	0	gs\artifact.gs	Gaidon	declared-name	14	2	artifact-gaidonart
game_token1	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token1.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token1
game_token2	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token2.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token2
game_token3	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token3.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token3
game_token4	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token4.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token4
game_token5	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token5.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token5
game_token6	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token6.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token6
game_token7	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token7.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token7
game_token8	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token8.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token8
game_token9	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\tokens\game_token9.gs	1	0	gs\artifact.gs	Dummy Artifact	declared-name	13	1	artifact-game-token9
gateway_artifact	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\gateway.gs	1	0	gs\artifact.gs	Gateway	declared-name	13	6	artifact-gateway-artifact
gateway_map	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\gatemap.gs	1	0	gs\artifact.gs	Gateway Map	declared-name	11	2	artifact-gateway-map
generic_artifact	artifact	registered-by-operator	vanilla,patch302	gs\artifact\generic.gs	1	0	gs\artifact.gs	Amulet of Genric	declared-name	14	1	artifact-generic-artifact
generic_stat_bonus	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\misc\generic_stat_bonus.gs	1	0	gs\artifact.gs	Stat Bonus (Combat Only)	declared-name	17	252	artifact-generic-stat-bonus
giantkirtle	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\giantkirtle.gs	1	0	gs\artifact.gs	Giant's Kirtle	text-table	14	2	artifact-giantkirtle
gilbertclo	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\gilbertclo.gs	1	0	gs\artifact.gs	Cloth and Sword of Gilbert the Bastard	text-table	14	3	artifact-gilbertclo
gloves_quickness	artifact	registered-by-operator	gs5r3	gs\artifact\_custom\gloves_quickness.gs	1	0	gs\artifact.gs	Gloves of Quickness	declared-name	30	2	artifact-gloves-quickness
goldenrod	artifact	registered-by-operator	vanilla,patch302	gs\artifact\goldenrd.gs	1	0	gs\artifact.gs	Goldenrod	declared-name	18	7	artifact-goldenrod
gonring	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\gonring.gs	1	0	gs\artifact.gs	Gontherine's Ring	text-table	17	3	artifact-gonring
gorgon_staff	artifact	registered-by-operator	vanilla,patch302	gs\artifact\gorgstaf.gs	1	0	gs\artifact.gs	Greater Artifact - Gorgon's Staff	declared-name	19	5	artifact-gorgon-staff
grail2	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\grail2.gs	1	0	gs\artifact.gs	The Holy Grail	text-table	18	3	artifact-grail2
grailshield	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\grailshield.gs	1	0	gs\artifact.gs	Adventurous Shield	text-table	14	4	artifact-grailshield
grailsword	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\grailsword.gs	1	0	gs\artifact.gs	Trebuchet's Broken Sword	text-table	14	3	artifact-grailsword
great_axe	artifact	registered-by-operator	vanilla,patch302	gs\artifact\greataxe.gs	1	0	gs\artifact.gs	Great Axe	declared-name	18	7	artifact-great-axe
greenscrf	artifact	registered-by-operator	vanilla,patch302,gs5r3	gs\artifact\greenscrf.gs	1	0	gs\artifact.gs	Green Samite Scarf of Invulnerability	text-table	13	3	artifact-greenscrf
guardian	artifact	registered-by-operator	vanilla,patch302	gs\artifact\guardian.gs	1	0	gs\artifact.gs	Greater Artifact - Guardian	declared-name	20	5	artifact-guardian
healthbringer	artifact	registered-by-operator	vanilla,patch302	gs\artifact\healbrin.gs	1	0	gs\artifact.gs	Healthbringer	declared-name	18	7	artifact-healthbringer
helm_of_assymmetry	artifact	registered-by-operator	vanilla,patch302	gs\artifact\helmassy.gs	1	0	gs\artifact.gs	Helm Of Asymmetry	declared-name	18	5	artifact-helm-of-assymmetry
