profile	kind	field	present	absent	numeric	minimum	maximum	modal-value	modal-count	distinct	shapes
vanilla	spell	bolt_origin_hotspot	1	191	1	-1	-1	-1	1	1	number:1
vanilla	spell	bolt_palette	1	191	1	2	2	2	1	1	number:1
vanilla	spell	bolt_step	1	191	1	10	10	10	1	1	number:1
vanilla	spell	bolt_target_hotspot	1	191	1	-1	-1	-1	1	1	number:1
vanilla	spell	bolt_thickness	1	191	1	1	1	1	1	1	number:1
vanilla	spell	bolt_ticks	1	191	1	10	10	10	1	1	number:1
vanilla	spell	book	191	1	30	-1	-1	-1	30	1	number:30 name:161
vanilla	spell	cast_ticks	191	1	191	1	12	12	87	6	number:191
vanilla	spell	caster_aura_type	4	188	0	-	-	-	0	0	name:4
vanilla	spell	display_updates	12	180	0	-	-	-	0	0	procedure:12
vanilla	spell	dummy	84	108	0	-	-	-	0	0	expression:84
vanilla	spell	duration	192	0	183	0	150000	0	67	25	number:183 procedure:9
vanilla	spell	effect	1	191	0	-	-	-	0	0	procedure:1
vanilla	spell	faith	192	0	0	-	-	-	0	0	name:192
vanilla	spell	ghost_sound	2	190	2	-1	-1	-1	2	1	number:2
vanilla	spell	ghost_speed	2	190	2	300	300	300	2	1	number:2
vanilla	spell	image	192	0	192	1	26	9	11	25	number:192
vanilla	spell	level	146	46	146	1	1	1	146	1	number:146
vanilla	spell	maintenance	192	0	192	0	32	2	175	4	number:192
vanilla	spell	mana	192	0	192	0	12	4	58	12	number:192
vanilla	spell	missile_action	15	177	15	-1	-1	-1	15	1	number:15
vanilla	spell	missile_flags	18	174	0	-	-	-	0	0	name:2 expression:16
vanilla	spell	missile_gravity	23	169	23	0.1	0.1	0.1	23	1	number:23
vanilla	spell	missile_hit_aura	23	169	0	-	-	-	0	0	name:1 procedure:22
vanilla	spell	missile_launch_action	4	188	1	-1	-1	-1	1	1	number:1 name:3
vanilla	spell	missile_launch_hotspot	2	190	0	-	-	-	0	0	name:2
vanilla	spell	missile_lifespan	3	189	3	1000	1000	1000	3	1	number:3
vanilla	spell	missile_speed	23	169	23	0.4	2	2	18	4	number:23
vanilla	spell	missile_type	23	169	0	-	-	-	0	0	name:23
vanilla	spell	mode	192	0	0	-	-	-	0	0	name:175 expression:17
vanilla	spell	modifier_aura	30	162	1	-1	-1	-1	1	1	number:1 procedure:29
vanilla	spell	modifier_flag	1	191	0	-	-	-	0	0	name:1
vanilla	spell	name	192	0	0	-	-	-	0	0	text:192
vanilla	spell	num_bolts	4	188	4	1	1	1	4	1	number:4
vanilla	spell	permanent_modifications	192	0	0	-	-	-	0	0	dictionary:192
vanilla	spell	range	136	56	136	-1	10	-1	120	3	number:136
vanilla	spell	recover_ticks	191	1	191	0	90	0	72	31	number:191
vanilla	spell	repeat_count	12	180	11	5	3000	20	4	6	number:11 procedure:1
vanilla	spell	repeat_modifications	12	180	0	-	-	-	0	0	dictionary:12
vanilla	spell	repeat_time	12	180	12	1	100	39	3	8	number:12
vanilla	spell	research_cost	192	0	192	0	220	5	15	74	number:192
vanilla	spell	spread_infection?	1	191	0	-	-	-	0	0	procedure:1
vanilla	spell	target	192	0	0	-	-	-	0	0	name:192
vanilla	spell	target_action	2	190	0	-	-	-	0	0	name:2
vanilla	spell	target_aura	53	139	25	-1	-1	-1	25	1	number:25 procedure:28
vanilla	spell	target_aura_channel	15	177	15	0	0	0	15	1	number:15
vanilla	spell	target_palette_effect	4	188	4	0	1	1	2	2	number:4
vanilla	spell	target_radius	27	165	16	4	30	20	8	4	number:16 procedure:11
vanilla	spell	temporary_modifications	192	0	0	-	-	-	0	0	dictionary:192
vanilla	spell	viability	34	158	0	-	-	-	0	0	procedure:34
vanilla	spell	vortex_da	3	189	0	-	-	-	0	0	expression:3
vanilla	spell	vortex_dda	3	189	3	0.2	0.2	0.2	3	1	number:3
vanilla	spell	vortex_turn_time	3	189	0	-	-	-	0	0	procedure:3
vanilla	artifact	attack_proc	32	147	0	-	-	-	0	0	procedure:32
vanilla	artifact	autocalc_end_combat_proc	1	178	0	-	-	-	0	0	procedure:1
vanilla	artifact	barter_proc	175	4	0	-	-	-	0	0	procedure:175
vanilla	artifact	begin_turn_proc	10	169	0	-	-	-	0	0	procedure:10
vanilla	artifact	can_be_used	112	67	0	-	-	-	0	0	name:112
vanilla	artifact	category	179	0	179	1	3	2	117	3	number:179
vanilla	artifact	defend_proc	38	141	0	-	-	-	0	0	procedure:38
vanilla	artifact	desc_buffer	4	175	0	-	-	-	0	0	expression:4
vanilla	artifact	description	179	0	0	-	-	-	0	0	text:126 procedure:5 expression:48
vanilla	artifact	description_table	179	0	0	-	-	-	0	0	dictionary:179
vanilla	artifact	dummy	21	158	0	-	-	-	0	0	expression:21
vanilla	artifact	dummy2	2	177	0	-	-	-	0	0	expression:2
vanilla	artifact	end_combat_proc	24	155	0	-	-	-	0	0	procedure:24
vanilla	artifact	end_turn_proc	5	174	0	-	-	-	0	0	procedure:5
vanilla	artifact	faith	177	2	0	-	-	-	0	0	name:177
vanilla	artifact	image	179	0	179	1	20	1	34	20	number:179
vanilla	artifact	max_charges	16	163	16	0	12	1	5	6	number:16
vanilla	artifact	max_mana	94	85	92	0	5000	0	31	17	number:92 name:2
vanilla	artifact	mod_proc	162	17	0	-	-	-	0	0	procedure:162
vanilla	artifact	name	179	0	0	-	-	-	0	0	text:128 name:2 expression:49
vanilla	artifact	override_flag	1	178	0	-	-	-	0	0	expression:1
vanilla	artifact	portrait_code	179	0	0	-	-	-	0	0	text:179
vanilla	artifact	spell_id	87	92	0	-	-	-	0	0	expression:87
vanilla	artifact	start_combat_proc	13	166	0	-	-	-	0	0	procedure:13
vanilla	artifact	unmod_proc	157	22	0	-	-	-	0	0	procedure:157
vanilla	artifact	uses_artifact_mana	103	76	0	-	-	-	0	0	name:103
vanilla	artifact	uses_wizard_mana	103	76	0	-	-	-	0	0	name:103
vanilla	artifact	val_buffer	4	175	0	-	-	-	0	0	expression:4
vanilla	artifact	wield	179	0	0	-	-	-	0	0	name:179
vanilla	artifact	wield_champion_types	174	5	0	-	-	-	0	0	procedure:174
vanilla	artifact	wield_faiths	174	5	0	-	-	-	0	0	procedure:174
vanilla	encounter	ai_leave_alone	188	118	0	-	-	-	0	0	name:188
vanilla	encounter	alldie	129	177	0	-	-	-	0	0	procedure:129
vanilla	encounter	army_specification	201	105	0	-	-	-	0	0	procedure:201
vanilla	encounter	army_spoils_list	70	236	0	-	-	-	0	0	procedure:70
vanilla	encounter	artifact_spoils_list	65	241	0	-	-	-	0	0	procedure:65
vanilla	encounter	auto_artifacts	95	211	0	-	-	-	0	0	name:95
vanilla	encounter	barrow_number	1	305	1	-1	-1	-1	1	1	number:1
vanilla	encounter	cave_number	1	305	1	-1	-1	-1	1	1	number:1
vanilla	encounter	choice	1	305	1	1	1	1	1	1	number:1
vanilla	encounter	disable_normal_spawning	57	249	0	-	-	-	0	0	name:57
vanilla	encounter	discover_message	296	10	0	-	-	-	0	0	procedure:296
vanilla	encounter	do_not_create_army	2	304	0	-	-	-	0	0	name:2
vanilla	encounter	do_revenge_for_order	1	305	0	-	-	-	0	0	procedure:1
vanilla	encounter	doorway_status	35	271	0	-	-	-	0	0	name:35
vanilla	encounter	dummy	229	77	0	-	-	-	0	0	array:163 expression:66
vanilla	encounter	dummy2	3	303	0	-	-	-	0	0	expression:3
vanilla	encounter	encounter	230	76	0	-	-	-	0	0	procedure:230
vanilla	encounter	encounter_attack_text	1	305	0	-	-	-	0	0	name:1
vanilla	encounter	encounter_crystals	41	265	40	0	200	0	35	4	number:40 expression:1
vanilla	encounter	encounter_enter2_text	1	305	0	-	-	-	0	0	name:1
vanilla	encounter	encounter_enter_text	113	193	0	-	-	-	0	0	text:1 name:112
vanilla	encounter	encounter_enter_text2	22	284	0	-	-	-	0	0	name:22
vanilla	encounter	encounter_enter_text3	4	302	0	-	-	-	0	0	name:4
vanilla	encounter	encounter_enter_text4	1	305	0	-	-	-	0	0	name:1
vanilla	encounter	encounter_exit_text	116	190	0	-	-	-	0	0	text:1 name:115
vanilla	encounter	encounter_exit_text2	3	303	0	-	-	-	0	0	name:3
vanilla	encounter	encounter_food	41	265	40	0	200	0	29	7	number:40 expression:1
vanilla	encounter	encounter_gold	41	265	40	0	200	0	27	8	number:40 expression:1
vanilla	encounter	enter_barrow_level	1	305	1	-1	-1	-1	1	1	number:1
vanilla	encounter	enter_progress_filename	87	219	0	-	-	-	0	0	text:87
vanilla	encounter	entry_text_array	1	305	0	-	-	-	0	0	array:1
vanilla	encounter	exit_key	3	303	0	-	-	-	0	0	text:3
vanilla	encounter	exit_progress_filename	87	219	0	-	-	-	0	0	text:87
vanilla	encounter	faith	305	1	1	0	0	0	1	1	number:1 name:304
vanilla	encounter	fix_buildings	1	305	0	-	-	-	0	0	procedure:1
vanilla	encounter	flee	128	178	0	-	-	-	0	0	procedure:128
vanilla	encounter	get_dungeon_choice	1	305	0	-	-	-	0	0	procedure:1
vanilla	encounter	key	224	82	0	-	-	-	0	0	text:224
vanilla	encounter	lose	300	6	0	-	-	-	0	0	procedure:300
vanilla	encounter	macrostringdict_sprite_type	3	303	0	-	-	-	0	0	expression:3
vanilla	encounter	makeglue	1	305	0	-	-	-	0	0	procedure:1
vanilla	encounter	mapfile	303	3	0	-	-	-	0	0	text:292 procedure:11
vanilla	encounter	multi_level_dung	8	298	0	-	-	-	0	0	name:8
vanilla	encounter	name	306	0	0	-	-	-	0	0	text:24 name:282
vanilla	encounter	on_new_game	120	186	0	-	-	-	0	0	procedure:120
vanilla	encounter	owner	305	1	4	1	2	2	3	2	number:4 name:301
vanilla	encounter	parley_encounter	125	181	125	0	2	0	99	3	number:125
vanilla	encounter	pick1	1	305	0	-	-	-	0	0	array:1
vanilla	encounter	pick2	1	305	0	-	-	-	0	0	array:1
vanilla	encounter	pick5	1	305	0	-	-	-	0	0	array:1
vanilla	encounter	quest_list	57	249	0	-	-	-	0	0	dictionary:57
vanilla	encounter	random_barrows	1	305	0	-	-	-	0	0	array:1
vanilla	encounter	random_orc_caves	1	305	0	-	-	-	0	0	array:1
vanilla	encounter	resource_delta	66	240	0	-	-	-	0	0	procedure:66
vanilla	encounter	scenario	205	101	0	-	-	-	0	0	text:205
vanilla	encounter	setup	305	1	0	-	-	-	0	0	procedure:305
vanilla	encounter	setup_second_level	1	305	0	-	-	-	0	0	procedure:1
vanilla	encounter	spells_spoils_list	8	298	0	-	-	-	0	0	procedure:8
vanilla	encounter	spoils	164	142	0	-	-	-	0	0	procedure:164
vanilla	encounter	sprite_type	305	1	1	0	0	0	1	1	number:1 procedure:3 expression:301
vanilla	encounter	tileset	306	0	0	-	-	-	0	0	text:295 procedure:11
vanilla	encounter	time	1	305	1	1	1	1	1	1	number:1
vanilla	encounter	type_override	28	278	0	-	-	-	0	0	text:2 name:26
vanilla	encounter	unknown_name	162	144	0	-	-	-	0	0	name:162
vanilla	encounter	win	128	178	0	-	-	-	0	0	procedure:128
vanilla	faction	symbols_declaring_this_faith	8	0	8	69	228	89	1	8	number:8
vanilla	building	code	12	0	0	-	-	-	0	0	text:12
vanilla	building	first_level	12	0	12	0	0	0	12	1	number:12
vanilla	building	last_level	12	0	12	1	3	3	10	2	number:12
patch302	unit	air_resistance	35	122	35	-50	100	25	9	9	number:35
patch302	unit	alpha_impfile_proc	4	153	0	-	-	-	0	0	procedure:4
patch302	unit	armor	156	1	156	0	20	2	24	15	number:156
patch302	unit	attack	157	0	157	0	25	8	18	20	number:157
patch302	unit	attack_recovery_ticks	150	7	150	4	40	12	23	23	number:150
patch302	unit	barracks_required	44	113	44	1	4	1	32	2	number:44
patch302	unit	carrying_capacity	9	148	9	4	4	4	9	1	number:9
patch302	unit	casting_aura_type	18	139	0	-	-	-	0	0	name:18
patch302	unit	chaos_resistance	35	122	35	-50	100	25	11	8	number:35
patch302	unit	code	151	6	0	-	-	-	0	0	number:8 name:143
patch302	unit	death_alpha_impfile_proc	1	156	0	-	-	-	0	0	procedure:1
patch302	unit	death_impfile_proc	2	155	0	-	-	-	0	0	procedure:2
patch302	unit	death_resistance	34	123	34	-50	100	0	12	8	number:34
patch302	unit	dexterity	154	3	154	0	32	8	36	20	number:154
patch302	unit	earth_resistance	35	122	35	-50	100	25	12	7	number:35
patch302	unit	faith	154	3	0	-	-	-	0	0	name:154
patch302	unit	fire_resistance	37	120	37	-50	100	25	9	11	number:37
patch302	unit	flags	157	0	0	-	-	-	0	0	name:10 expression:147
patch302	unit	food_to_build	98	59	98	0	264	0	20	41	number:98
patch302	unit	food_used_per_turn	116	41	116	0	5	0	71	5	number:116
patch302	unit	frames_per_grid	148	9	148	3	10	6	45	8	number:148
patch302	unit	get_hit_recovery_ticks	150	7	150	0	16	2	26	12	number:150
patch302	unit	gold_to_build	98	59	98	0	300	0	35	36	number:98
patch302	unit	gold_used_per_turn	116	41	116	0	6	0	77	3	number:116
patch302	unit	health_bar_x	147	10	147	-19	-13	-16	135	6	number:147
patch302	unit	health_bar_y	147	10	147	-200	-25	-75	14	41	number:147
patch302	unit	hit_points	157	0	157	2	250	12	17	40	number:157
patch302	unit	impfile_proc	157	0	0	-	-	-	0	0	procedure:157
patch302	unit	initiates_to_build	99	58	99	0	3	1	61	3	number:99
patch302	unit	keep_required	3	154	3	1	1	1	3	1	number:3
patch302	unit	level_procedure	148	9	0	-	-	-	0	0	procedure:148
patch302	unit	library_required	1	156	1	1	1	1	1	1	number:1
patch302	unit	life_resistance	35	122	35	-50	100	0	12	11	number:35
patch302	unit	magic_crystals_to_build	98	59	98	0	300	0	25	43	number:98
patch302	unit	magic_crystals_used_per_turn	116	41	116	0	8	0	68	8	number:116
patch302	unit	man_turns	18	139	18	20	50	20	10	4	number:18
patch302	unit	marketplace_required	2	155	2	1	1	1	2	1	number:2
patch302	unit	maximum_mana	19	138	19	3	7	5	10	3	number:19
patch302	unit	melee_attack_resistance	28	129	28	0	80	33	12	8	number:28
patch302	unit	military_units	53	104	53	1	3	3	35	3	number:53
patch302	unit	missile_attack_resistance	32	125	32	0	80	25	10	8	number:32
patch302	unit	missile_range	51	106	51	4	18	10	12	12	number:51
patch302	unit	missile_speed	51	106	51	0.75	1.5	1	32	3	number:51
patch302	unit	missile_type	50	107	0	-	-	-	0	0	name:50
patch302	unit	morale_bar_x	146	11	146	-15	-10	-12	139	5	number:146
patch302	unit	morale_bar_y	146	11	146	-200	-25	-75	14	41	number:146
patch302	unit	mount_type	26	131	0	-	-	-	0	0	name:26
patch302	unit	mps	157	0	157	1	40	8	29	16	number:157
patch302	unit	name	157	0	0	-	-	-	0	0	text:150 expression:7
patch302	unit	order_resistance	35	122	35	-50	100	0	14	11	number:35
patch302	unit	portrait_doodad	5	152	0	-	-	-	0	0	expression:5
patch302	unit	production_doodad	5	152	0	-	-	-	0	0	expression:5
patch302	unit	race	153	4	0	-	-	-	0	0	name:153
patch302	unit	ranged_attack	51	106	51	3	21	6	9	14	number:51
patch302	unit	recover_hitpoints	126	31	126	0	81	3	32	11	number:126
patch302	unit	recover_hitpoints_inside	126	31	126	0	10	3	34	9	number:126
patch302	unit	recover_hitpoints_moved	126	31	126	0	81	1	57	8	number:126
patch302	unit	shadow_impfile_proc	3	154	0	-	-	-	0	0	procedure:3
patch302	unit	shipyard_required	1	156	1	1	1	1	1	1	number:1
patch302	unit	sight_radius	156	1	156	1	7	3	40	7	number:156
patch302	unit	small_doodad	6	151	0	-	-	-	0	0	expression:6
patch302	unit	special_unit_type	59	98	0	-	-	-	0	0	name:59
patch302	unit	stables_required	2	155	2	1	1	1	2	1	number:2
patch302	unit	stealth_noise_factor	148	9	148	1	15	12	26	14	number:148
patch302	unit	strength	148	9	148	0	24	9	19	23	number:148
patch302	unit	temple_required	1	156	1	1	1	1	1	1	number:1
patch302	unit	thieves_guild_required	33	124	33	1	4	1	25	2	number:33
patch302	unit	water_resistance	35	122	35	-200	100	25	8	13	number:35
patch302	unit	wisdom	148	9	148	0	16	6	37	12	number:148
patch302	unit	wizards_tower_required	49	108	49	1	4	1	16	4	number:49
patch302	spell	barter_value_proc	192	0	0	-	-	-	0	0	procedure:192
patch302	spell	bolt_aura	1	191	1	-1	-1	-1	1	1	number:1
patch302	spell	bolt_origin_hotspot	1	191	1	-1	-1	-1	1	1	number:1
patch302	spell	bolt_palette	1	191	1	2	2	2	1	1	number:1
patch302	spell	bolt_step	1	191	1	10	10	10	1	1	number:1
patch302	spell	bolt_target_hotspot	1	191	1	-1	-1	-1	1	1	number:1
patch302	spell	bolt_thickness	1	191	1	1	1	1	1	1	number:1
patch302	spell	bolt_ticks	1	191	1	10	10	10	1	1	number:1
patch302	spell	book	191	1	30	-1	-1	-1	30	1	number:30 name:161
patch302	spell	cast_ticks	191	1	191	1	12	12	87	6	number:191
patch302	spell	caster_aura_type	4	188	0	-	-	-	0	0	name:4
patch302	spell	display_updates	12	180	0	-	-	-	0	0	procedure:12
patch302	spell	dummy	84	108	0	-	-	-	0	0	expression:84
patch302	spell	duration	192	0	183	0	150000	0	67	25	number:183 procedure:9
patch302	spell	effect	1	191	0	-	-	-	0	0	procedure:1
patch302	spell	faith	192	0	0	-	-	-	0	0	name:192
patch302	spell	ghost_sound	2	190	2	-1	-1	-1	2	1	number:2
patch302	spell	ghost_speed	2	190	2	300	300	300	2	1	number:2
patch302	spell	image	192	0	192	1	26	9	11	25	number:192
patch302	spell	level	146	46	146	1	1	1	146	1	number:146
patch302	spell	maintenance	192	0	192	0	32	2	175	4	number:192
patch302	spell	mana	192	0	192	0	12	4	58	12	number:192
patch302	spell	missile_action	15	177	15	-1	-1	-1	15	1	number:15
patch302	spell	missile_flags	18	174	0	-	-	-	0	0	name:2 expression:16
patch302	spell	missile_gravity	23	169	23	0.1	0.1	0.1	23	1	number:23
patch302	spell	missile_hit_aura	23	169	0	-	-	-	0	0	name:1 procedure:22
patch302	spell	missile_launch_action	4	188	1	-1	-1	-1	1	1	number:1 name:3
patch302	spell	missile_launch_hotspot	2	190	0	-	-	-	0	0	name:2
patch302	spell	missile_lifespan	3	189	3	1000	1000	1000	3	1	number:3
patch302	spell	missile_speed	23	169	23	0.4	2	2	18	4	number:23
patch302	spell	missile_type	23	169	0	-	-	-	0	0	name:23
patch302	spell	mode	192	0	0	-	-	-	0	0	name:175 expression:17
patch302	spell	modifier_aura	30	162	1	-1	-1	-1	1	1	number:1 procedure:29
patch302	spell	modifier_flag	1	191	0	-	-	-	0	0	name:1
patch302	spell	name	192	0	0	-	-	-	0	0	text:192
patch302	spell	num_bolts	4	188	4	1	1	1	4	1	number:4
patch302	spell	permanent_modifications	192	0	0	-	-	-	0	0	dictionary:192
patch302	spell	range	136	56	136	-1	10	-1	120	3	number:136
patch302	spell	recover_ticks	191	1	191	0	90	0	72	31	number:191
patch302	spell	repeat_count	12	180	11	5	3000	20	4	6	number:11 procedure:1
patch302	spell	repeat_modifications	12	180	0	-	-	-	0	0	dictionary:12
patch302	spell	repeat_time	12	180	12	1	100	39	3	8	number:12
patch302	spell	research_cost	192	0	192	0	220	5	15	74	number:192
patch302	spell	spread_infection?	1	191	0	-	-	-	0	0	procedure:1
patch302	spell	target	192	0	0	-	-	-	0	0	name:192
patch302	spell	target_action	2	190	0	-	-	-	0	0	name:2
patch302	spell	target_aura	53	139	25	-1	-1	-1	25	1	number:25 procedure:28
patch302	spell	target_aura_channel	15	177	15	0	0	0	15	1	number:15
patch302	spell	target_palette_effect	4	188	4	0	1	1	2	2	number:4
patch302	spell	target_radius	27	165	16	4	30	20	8	4	number:16 procedure:11
patch302	spell	temporary_modifications	192	0	0	-	-	-	0	0	dictionary:192
patch302	spell	viability	34	158	0	-	-	-	0	0	procedure:34
patch302	spell	vortex_da	3	189	0	-	-	-	0	0	expression:3
patch302	spell	vortex_dda	3	189	3	0.2	0.2	0.2	3	1	number:3
patch302	spell	vortex_turn_time	3	189	0	-	-	-	0	0	procedure:3
patch302	artifact	attack_proc	32	147	0	-	-	-	0	0	procedure:32
patch302	artifact	autocalc_end_combat_proc	1	178	0	-	-	-	0	0	procedure:1
patch302	artifact	barter_proc	175	4	0	-	-	-	0	0	procedure:175
patch302	artifact	begin_turn_proc	10	169	0	-	-	-	0	0	procedure:10
patch302	artifact	can_be_used	112	67	0	-	-	-	0	0	name:112
patch302	artifact	category	179	0	179	1	3	2	117	3	number:179
patch302	artifact	defend_proc	38	141	0	-	-	-	0	0	procedure:38
patch302	artifact	desc_buffer	4	175	0	-	-	-	0	0	expression:4
patch302	artifact	description	179	0	0	-	-	-	0	0	text:126 procedure:5 expression:48
patch302	artifact	description_table	179	0	0	-	-	-	0	0	dictionary:179
patch302	artifact	dummy	21	158	0	-	-	-	0	0	expression:21
patch302	artifact	dummy2	2	177	0	-	-	-	0	0	expression:2
patch302	artifact	end_combat_proc	24	155	0	-	-	-	0	0	procedure:24
patch302	artifact	end_turn_proc	5	174	0	-	-	-	0	0	procedure:5
patch302	artifact	faith	177	2	0	-	-	-	0	0	name:177
patch302	artifact	image	179	0	179	1	20	1	34	20	number:179
patch302	artifact	max_charges	16	163	16	0	12	1	5	6	number:16
patch302	artifact	max_mana	94	85	92	0	5000	0	31	17	number:92 name:2
patch302	artifact	mod_proc	162	17	0	-	-	-	0	0	procedure:162
patch302	artifact	name	179	0	0	-	-	-	0	0	text:128 name:2 expression:49
patch302	artifact	override_flag	1	178	0	-	-	-	0	0	expression:1
patch302	artifact	portrait_code	179	0	0	-	-	-	0	0	text:179
patch302	artifact	spell_id	87	92	0	-	-	-	0	0	expression:87
patch302	artifact	start_combat_proc	13	166	0	-	-	-	0	0	procedure:13
patch302	artifact	unmod_proc	157	22	0	-	-	-	0	0	procedure:157
patch302	artifact	uses_artifact_mana	103	76	0	-	-	-	0	0	name:103
patch302	artifact	uses_wizard_mana	103	76	0	-	-	-	0	0	name:103
patch302	artifact	val_buffer	4	175	0	-	-	-	0	0	expression:4
patch302	artifact	wield	179	0	0	-	-	-	0	0	name:179
patch302	artifact	wield_champion_types	174	5	0	-	-	-	0	0	procedure:174
patch302	artifact	wield_faiths	174	5	0	-	-	-	0	0	procedure:174
patch302	encounter	ai_leave_alone	188	118	0	-	-	-	0	0	name:188
patch302	encounter	alldie	129	177	0	-	-	-	0	0	procedure:129
patch302	encounter	army_specification	201	105	0	-	-	-	0	0	procedure:201
patch302	encounter	army_spoils_list	70	236	0	-	-	-	0	0	procedure:70
patch302	encounter	artifact_spoils_list	65	241	0	-	-	-	0	0	procedure:65
patch302	encounter	auto_artifacts	95	211	0	-	-	-	0	0	name:95
