symbol	kind	in-vanilla	in-patch302	in-gs5r3	patch302-vs-vanilla	gs5r3-vs-vanilla	gs5r3-vs-patch302	changed-fields
artifact:armor_feather_chain	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:armor_obsidian	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:armor_of_inspiration	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:armor_urak	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:artart	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:ashes_of_infestation	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:axe_annihilation	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:axe_great	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:axe_lode	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:axe_of_chaos	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:axe_of_mauling	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:axe_orcs	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:axe_swift	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:balkoth_scythe	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:banner_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:belt_trollhide	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:blowgun_of_the_amazons	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:blowgun_waterspitter	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:boots_stealth	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:borchert_torch	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:bow_earthshaker	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:bow_of_bakal	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:bow_of_balladrine	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:bow_of_quaal	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:bow_reed	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:bow_spirit	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:bow_tornado	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:burning_blade	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:burnskin_artifact	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:cap_jester	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:chakram_entropy	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:chakram_of_entropy	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:chalice_chaos	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:chalice_life	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:chalice_of_life	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:chalice_rocca	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:champion_stat_bonus	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:choice_artifact	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:cloak_flame	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:cloak_justice	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:cloak_lich	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:cloak_spirit	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:cloak_wyrm	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:cloaktarn	artifact	yes	yes	yes	identical	token-level	token-level	category,image,questonly?
artifact:cloudstaff	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:cloudsteam_artifact	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:combat_attacking	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:combat_defending	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:coral_shield	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:crossbow_balance	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:crossbow_flamethrower	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:crossbow_of_balance	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:crown_kings	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:crown_noble	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:crystal_ring	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:crystalmight	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:dagger_aqua	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dagger_death	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dagger_faerie	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dagger_flint	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dagger_huntress	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dagger_life_steal	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dagger_light	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dagger_rusted	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dagger_silver	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:darkblade	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:death_dagger	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:dragart	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:dragon_scale	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:dragonban	artifact	yes	yes	yes	identical	token-level	token-level	category,image,leader,max_charges,max_mana,mod_proc,morale,questonly?,uses_artifact_mana,uses_wizard_mana,wield_champion_types,wield_faiths
artifact:dreamscrl	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:dummy0_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dummy1_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dummy2_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dummy3_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dummy4_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dummy5_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dummy6_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dummy7_artifact	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:dwarvenplate	artifact	yes	yes	yes	identical	token-level	token-level	category,description,faith,image,mod_proc,questonly?,unmod_proc,wield_faiths
artifact:ebelsletter	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:ebony_plate	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:elven_chain	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:eternal_flame	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:excalibr	artifact	yes	yes	yes	identical	token-level	token-level	attack_proc,category,image,mod_proc,questonly?
artifact:eyes_of_the_hawk	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:faerie_ring	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:feather_chain	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:flameshaft	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:flint_ring	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:gaidonart	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:game_token1	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:game_token2	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:game_token3	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:game_token4	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:game_token5	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:game_token6	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:game_token7	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:game_token8	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:game_token9	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:gateway_artifact	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:gateway_map	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:generic_artifact	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:generic_stat_bonus	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:giantkirtle	artifact	yes	yes	yes	identical	token-level	token-level	category,mod_proc,questonly?,unmod_proc
artifact:gilbertclo	artifact	yes	yes	yes	identical	token-level	token-level	category,image,mod_proc,questonly?,unmod_proc
artifact:gloves_quickness	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:goldenrod	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:gonring	artifact	yes	yes	yes	identical	token-level	token-level	category,eameld,earth_meld,max_mana,questonly?
artifact:gorgon_staff	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:grail2	artifact	yes	yes	yes	identical	token-level	token-level	category,image,mod_proc,questonly?,survey2,terrain_special,unmod_proc
artifact:grailshield	artifact	yes	yes	yes	identical	token-level	token-level	category,mod_proc,questonly?,unmod_proc
artifact:grailsword	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:great_axe	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:greenscrf	artifact	yes	yes	yes	identical	token-level	token-level	category,faith,image,mod_proc,questonly?,unmod_proc
artifact:guardian	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:healthbringer	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:helm_of_assymmetry	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:helmet_stone	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:helmet_warlord	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:helyesbk	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?,spirit,summon_creature_order
artifact:herladysbld	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:holygrail	artifact	yes	yes	yes	identical	token-level	token-level	category,image,questonly?
artifact:hrunting	artifact	yes	yes	yes	identical	token-level	token-level	T_artifact_descript_hrunting,T_artifact_name_hrunting,attack_proc,begin_turn_proc,can_be_used,category,description,description_table,detect_fire,image,max_charges,max_mana,mod_proc,name,questonly?,uses_artifact_mana,uses_wizard_mana,wield
artifact:ice_sword	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:interpscrol	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:ival_axe	artifact	yes	yes	yes	identical	token-level	token-level	attack_proc,category,questonly?
artifact:kapelke_ring	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:kbcrown	artifact	yes	yes	yes	identical	token-level	token-level	category,image,questonly?
artifact:kdavidswrd	artifact	yes	yes	yes	identical	token-level	token-level	category,image,mod_proc,questonly?,unmod_proc
artifact:kingryonswd	artifact	yes	yes	yes	identical	token-level	token-level	category,image,mod_proc,questonly?
artifact:kings_writ	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:knife_of_lifestealing	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:lancring	artifact	yes	yes	yes	identical	token-level	token-level	category,mod_proc,questonly?
artifact:lcharge_artifact	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:lich_cloak	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:lich_scepter	artifact	yes	yes	yes	identical	token-level	token-level	attack_proc,category,description,image,mod_proc,questonly?,unmod_proc
artifact:lionbelt	artifact	yes	yes	yes	identical	token-level	token-level	category,image,questonly?
artifact:longsper	artifact	yes	yes	yes	identical	token-level	token-level	category,image,questonly?
artifact:lovepot	artifact	yes	yes	yes	identical	token-level	token-level	category,faith,image,portrait_code,questonly?
artifact:luckstone	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:lyonsrng	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:marrock	artifact	yes	yes	yes	identical	token-level	token-level	category,image,questonly?
artifact:message_artifact	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:military_stat_bonus	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:morgmant	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:nagling	artifact	yes	yes	yes	identical	token-level	token-level	T_artifact_descript_nagling,T_artifact_name_nagling,attack_proc,begin_turn_proc,category,description,description_table,image,mod_proc,name,questonly?,wield
artifact:nothung	artifact	yes	yes	yes	identical	token-level	token-level	attack_proc,category,image,mod_proc,questonly?
artifact:obsidian_plate	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:orb_wind	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:orfiresword	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:parzring	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:peacemaker	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:pixiedust	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:plus1helm	artifact	yes	yes	yes	identical	token-level	token-level	category,faith,image,questonly?
artifact:plus2armor	artifact	yes	yes	yes	identical	token-level	token-level	category,image,questonly?
artifact:potion12	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:potion_dexterity	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_health	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_luck	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_mana	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_movement	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_of_dexterity	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:potion_of_healing	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:potion_of_mana	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:potion_of_rejuv	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:potion_of_strength	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:potion_power	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_rejuvenation	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_resistance	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_strength	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potion_wisdom	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:potionheal12	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:priamblm	artifact	yes	yes	yes	identical	token-level	token-level	category,heal,heal_life,questonly?
artifact:priamswd	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:pridwen	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:puresword	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:ragnlsans	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:reed_bow	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:reginart	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:ring_adventure	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_aqua	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_arcana	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_archons	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_brimstone	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_concentration	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_dexterity	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_elements	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_embers	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_faerie	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_flint	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_four_winds	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_giants	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_healing	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_health	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_leeches	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_luck	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_mana	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_marksmanship	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_necromancy	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_of_anything	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_arcana	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_azz'taruth	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_brimstone	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_concentration	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_dwarves	artifact	yes	yes	yes	identical	token-level	token-level	category,disguise,morphdwarf,questonly?
artifact:ring_of_embers	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_entanglement	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_flame	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_healing	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_leeches	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_marksmanship	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_mazes	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_productivity	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_protection	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_redemption	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_shelter	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_stealth	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_the_elements	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_of_winds	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:ring_power	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_protection	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_stealth	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_strength	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_wave	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_windfall	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:ring_wisdom	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:rocca_chalice	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:scabbard_quality	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_dexterity	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_diplomacy	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_experience_01	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_experience_02	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_experience_03	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_experience_04	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_faith	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_health	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_health_recovery	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_mana	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_movement	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_power	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_resistance	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_sages	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_strength	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scroll_wisdom	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:scythe_balkoth	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:sequence	artifact	yes	yes	yes	identical	token-level	token-level	attack_proc,category,questonly?
artifact:shadowstaff	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:sharktooth	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:shield_balkoth	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:shield_coral	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:shield_of_righteousness	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:shield_quality	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:shield_righteousness	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:shieldofval	artifact	yes	yes	yes	identical	token-level	token-level	category,questonly?
artifact:sleep_artifact	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:soul_stealer	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:spear_maiden	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:special_altar_of_sacrifice	artifact	yes	yes	yes	identical	token-level	token-level	category,description_table,image,mod_proc,portrait_code,rechargeable?
artifact:special_forge_of_eternal_flame	artifact	yes	yes	yes	identical	token-level	token-level	begin_turn_proc,can_be_used,category,description_table,detect_fire,image,max_charges,mod_proc,portrait_code,rechargeable?,unmod_proc,uses_artifact_mana,uses_wizard_mana,wield_champion_types
artifact:special_shrine_of_vitality	artifact	yes	yes	yes	identical	token-level	token-level	autocalc_end_combat_proc,category,description_table,end_combat_proc,image,mod_proc,portrait_code,rechargeable?
artifact:spitfire	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_cloud	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_drowning	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_electron	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_enlightenment	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_flameshaft	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_golden	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_gorgon	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_healthbringer	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_incineration	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_light	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_lightbringer	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_of_animation	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_of_asphyxiation	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_of_drowning	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_of_enlightenment	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_of_incineration	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_of_light	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_of_polymorphing	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_of_resurrection	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
artifact:staff_peacemaker	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_quality	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_shadow	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_turmoil	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_unholy	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_water	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:staff_wicked	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:stat1_bonus	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:stat2_bonus	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:stat3_bonus	artifact	no	no	yes	identical	only-in-right	only-in-right	-
artifact:stfhlyblt	artifact	yes	yes	yes	identical	token-level	token-level	bolt_fire,category,fdart,questonly?
artifact:stone_artifact	artifact	yes	yes	no	identical	only-in-left	only-in-left	-
