name	uses	class	broad-candidate	operator-entry-point
ARTIFACT_SPELL_ID	89	script-definition	no	-
ARTIFACT_START_COMBAT_PROC	1	constant-or-data	yes	-
ARTIFACT_TYPE	227	script-definition	no	-
ARTIFACT_TYPE_FLAGS	5	constant-or-data	yes	-
ARTIFACT_UNIQUE_ID	63	constant-or-data	yes	-
ARTIFACT_UNMOD_PROC	1	constant-or-data	yes	-
ARTIFACT_USES_ARTIFACT_MANA	1	constant-or-data	yes	-
ARTIFACT_USES_CHARGES	2	constant-or-data	yes	-
ARTIFACT_USES_WIZARD_MANA	3	constant-or-data	yes	-
ARTIFACT_WIELD_BITS	2	constant-or-data	yes	-
ARTIFACT_WIELD_BOTH	7	constant-or-data	yes	-
ARTIFACT_WIELD_CHAMPION_BITS	8	constant-or-data	yes	-
ARTIFACT_WIELD_EITHER	169	constant-or-data	yes	-
ARTIFACT_WIELD_FAITH_BITS	4	constant-or-data	yes	-
ARTIFACT_WIELD_INVISIBLE	39	constant-or-data	yes	-
ARTIFACT_WIELD_LEFT	30	constant-or-data	yes	-
ARTIFACT_WIELD_RIGHT	58	constant-or-data	yes	-
ASCII_VAL	81	constant-or-data	yes	-
ATTACKER_ARMY	196	constant-or-data	yes	-
ATTACK_ACKNOWLEDGE	393	constant-or-data	yes	-
ATTACK_SPELL_TYPE	3	constant-or-data	yes	-
AT_WAR	42	constant-or-data	yes	-
AUTOCALC_ATTACKER	1	constant-or-data	yes	-
AUTOCALC_DEFENDER	1	constant-or-data	yes	-
A_off	3	heuristic-false-positive	no	-
A_on	3	heuristic-false-positive	no	-
AttackerString	2	script-definition	no	-
Ave_Melee_bv_per_hitpoint_p0	40	script-definition	no	-
Ave_Melee_bv_per_hitpoint_p1	14	script-definition	no	-
Ave_Melee_bv_per_unit_p0	4	script-definition	no	-
Ave_Melee_bv_per_unit_p1	1	script-definition	no	-
Ave_Missile_bv_per_hitpoint_p0	40	script-definition	no	-
Ave_Missile_bv_per_hitpoint_p1	14	script-definition	no	-
Ave_Missile_bv_per_unit_p0	6	script-definition	no	-
Ave_Missile_bv_per_unit_p1	1	script-definition	no	-
Ave_attack_value_p0	2	script-definition	no	-
Ave_defense_value_p1	2	script-definition	no	-
Ave_hitpoints_p1	2	script-definition	no	-
Ave_level_p1	1	script-definition	no	-
BARBARIAN	30	constant-or-data	yes	-
BARGRAPH_BAR_AMOUNT	11	constant-or-data	yes	-
BARGRAPH_BAR_ID	5	constant-or-data	yes	-
BARRACKS	98	constant-or-data	yes	-
BARTER_ACCEPTED	2	constant-or-data	yes	-
BARTER_ARMY	9	constant-or-data	yes	-
BARTER_ARTIFACT	8	constant-or-data	yes	-
BARTER_BUILDING	8	constant-or-data	yes	-
BARTER_CANCEL_CHANGING	4	constant-or-data	yes	-
BARTER_CHANGING	2	constant-or-data	yes	-
BARTER_CITY	8	constant-or-data	yes	-
BARTER_DEMAND	76	constant-or-data	yes	-
BARTER_ENDED_IN_FIGHT	2	constant-or-data	yes	-
BARTER_FOOD	80	constant-or-data	yes	-
BARTER_GIFT	142	constant-or-data	yes	-
BARTER_GOLD	81	constant-or-data	yes	-
BARTER_INACTIVE	2	constant-or-data	yes	-
BARTER_INITIATES	5	constant-or-data	yes	-
BARTER_MAGIC_CRYSTALS	78	constant-or-data	yes	-
BARTER_NOT_INTERESTED	2	constant-or-data	yes	-
BARTER_NUM_TONES	8	constant-or-data	yes	-
BARTER_PLEA	58	constant-or-data	yes	-
BARTER_PROPOSED	4	constant-or-data	yes	-
BARTER_REQUEST	122	constant-or-data	yes	-
BARTER_SLOT_EMPTY	2	constant-or-data	yes	-
BARTER_SPELL	8	constant-or-data	yes	-
BARTER_STARTUP	4	constant-or-data	yes	-
BARTER_THREAT	80	constant-or-data	yes	-
BARTER_TRADE	180	constant-or-data	yes	-
BARTER_TREE	8	constant-or-data	yes	-
BARTER_UNIT	19	script-definition	no	-
BESTETA_ALL_OUT_ATTACK	1	constant-or-data	yes	-
BESTETA_ATTACK_WITHOUT_FULL_STRENGTH	1	constant-or-data	yes	-
BESTETA_INVOLVE_BODYGUARDS	2	constant-or-data	yes	-
BESTETA_INVOLVE_LEADER	2	constant-or-data	yes	-
BESTETA_USE_ARMIES_INSIDE	1	constant-or-data	yes	-
BESTETA_USE_ARMIES_IN_DUNGEONS	1	constant-or-data	yes	-
BIG1	1	script-definition	no	-
BIG2	1	script-definition	no	-
BIG3	1	script-definition	no	-
BI_BEGIN_TURN_PROC	1	constant-or-data	yes	-
BI_COMBAT_PROC	1	constant-or-data	yes	-
BI_IMPFILE_PROC	7	constant-or-data	yes	-
BI_NAME	5	constant-or-data	yes	-
BI_SIGHT_RADIUS	1	constant-or-data	yes	-
BOLT_ATTACKER_UNIT_NUM	2	constant-or-data	yes	-
BOLT_DEFENDER_UNIT_NUM	2	constant-or-data	yes	-
BOLT_SPELLDEF_ID	4	constant-or-data	yes	-
BRAIN_BALANCE_RESOURCES	3	constant-or-data	yes	-
BRAIN_BUILD_SOMETHING	3	constant-or-data	yes	-
BRAIN_CONSOLIDATE_HOLD_ON_REGIONS	3	constant-or-data	yes	-
BRAIN_END_TURN_CLEANUP	3	constant-or-data	yes	-
BRAIN_EVENT_RESPONSE	3	constant-or-data	yes	-
BRAIN_HANDLE_LEADER	3	constant-or-data	yes	-
BRAIN_HANDLE_MERCENARIES	3	constant-or-data	yes	-
BRAIN_HANDLE_THREATS	1	constant-or-data	yes	-
BRAIN_INITIATE_BARTER	3	constant-or-data	yes	-
BRAIN_INVASION_SETUP	3	constant-or-data	yes	-
BRAIN_INVASION_STATUS	3	constant-or-data	yes	-
BRAIN_MAINTAIN_CITY	3	constant-or-data	yes	-
BRAIN_POSITION_DEFENDERS	3	constant-or-data	yes	-
BRAIN_PREPARE_INVADERS	3	constant-or-data	yes	-
BRAIN_RERUN	1	constant-or-data	yes	-
BRAIN_RESEARCH	3	constant-or-data	yes	-
BRAIN_REVIEW_RELATIONSHIPS	3	constant-or-data	yes	-
BRAIN_SET_REGION_TO_INVADE	3	constant-or-data	yes	-
BRAIN_SHOULD_INVASION_BEGIN	3	constant-or-data	yes	-
BUILDING_ACCUMULATED_RESEARCH	11	constant-or-data	yes	-
BUILDING_EXPERIENCE	19	constant-or-data	yes	-
BUILDING_FAITH	124	script-definition	no	-
BUILDING_INITIATES	1	constant-or-data	yes	-
BUILDING_LEVEL	89	script-definition	no	-
BUILDING_LINE_OF_RESEARCH	13	constant-or-data	yes	-
BUILDING_LOCATION	26	script-definition	no	-
BUILDING_OWNER	195	constant-or-data	yes	-
BUILDING_PARENT	12	constant-or-data	yes	-
BUILDING_TYPE	177	constant-or-data	yes	-
B_off	3	heuristic-false-positive	no	-
B_on	3	heuristic-false-positive	no	-
CANNOT_RESEARCH	65	constant-or-data	yes	-
CANT_COMBINE	3	constant-or-data	yes	-
CAN_AIMED	54	constant-or-data	yes	-
CAN_ATTACK	133	constant-or-data	yes	-
CAN_BERSERK	64	constant-or-data	yes	-
CAN_CAST_BREATH	3	constant-or-data	yes	-
CAN_DEFEND	131	constant-or-data	yes	-
CAN_DETECT_THIEF	18	constant-or-data	yes	-
CAN_RALLY	28	constant-or-data	yes	-
CAN_SPELLS	26	constant-or-data	yes	-
CAN_SPIT_WEB	3	constant-or-data	yes	-
CAN_STEALTH	22	constant-or-data	yes	-
CAN_SUBDUE	18	constant-or-data	yes	-
CAN_SURRENDER	61	constant-or-data	yes	-
CAN_TRANSFER_ARTIFACT	20	constant-or-data	yes	-
CAN_USE_LEFT_ARTIFACT	69	constant-or-data	yes	-
CAN_USE_RIGHT_ARTIFACT	69	constant-or-data	yes	-
CAPTURED_ATTACKER	7	constant-or-data	yes	-
CAPTURED_DEFENDER	7	constant-or-data	yes	-
CAV	38	script-definition	no	-
CAV1	2	script-definition	no	-
CAV2	2	script-definition	no	-
CAVALRY_CLASS	8	constant-or-data	yes	-
CAVS	12	script-definition	no	-
CAV_GEN	27	script-definition	no	-
CBIG1	2	script-definition	no	-
CBIG2	2	script-definition	no	-
CBIGS	2	script-definition	no	-
CEASE_FIRE	9	constant-or-data	yes	-
CHAMP1	3	script-definition	no	-
CHAMP2	3	script-definition	no	-
CHAMP3	3	script-definition	no	-
CHAMPION_CLASS	15	constant-or-data	yes	-
CHAMPION_NAME	15	script-definition	no	-
CHAMPS	105	script-definition	no	-
CHAOS	658	constant-or-data	yes	-
CHAOS_ENC_CAV	1	script-definition	no	-
CHAOS_ENC_CHAMP	1	script-definition	no	-
CHAOS_ENC_CR1	1	script-definition	no	-
CHAOS_ENC_CR2	1	script-definition	no	-
CHAOS_ENC_CR3	1	script-definition	no	-
CHAOS_ENC_CR4	1	script-definition	no	-
CHAOS_ENC_CR5	1	script-definition	no	-
CHAOS_ENC_FIT	2	script-definition	no	-
CHAOS_ENC_INF	1	script-definition	no	-
CHAOS_ENC_MIS	1	script-definition	no	-
CHAOS_ENC_THF	2	script-definition	no	-
CHAOS_ENC_WIZ	2	script-definition	no	-
CHI	8	constant-or-data	yes	-
CITYMOD_LEVEL	3	constant-or-data	yes	-
CITYMOD_SPELLDEF_ID	22	constant-or-data	yes	-
CITY_FAITH	58	script-definition	no	-
CITY_LEVEL	23	script-definition	no	-
CITY_LOCATION	43	constant-or-data	yes	-
CITY_NAME	24	script-definition	no	-
CITY_OWNER	117	script-definition	no	-
CITY_SIGHT_RADIUS	4	constant-or-data	yes	-
CI_ARMY_ID	53	constant-or-data	yes	-
CI_ARTIFACT_UNIQUE_ID	34	constant-or-data	yes	-
CI_CASTING_ARMY	49	constant-or-data	yes	-
CI_CASTING_UNIT	47	constant-or-data	yes	-
CI_CITY_ID	12	constant-or-data	yes	-
CI_LOCATION	14	constant-or-data	yes	-
CI_TYPE	45	constant-or-data	yes	-
CI_UNIT_NUM	51	constant-or-data	yes	-
CI_UNIT_UNIQUE_ID	6	constant-or-data	yes	-
CMID1	2	script-definition	no	-
CMID2	2	script-definition	no	-
CMIDS	4	script-definition	no	-
COMBAT_MODE	8	constant-or-data	yes	-
COMBAT_ORDERS	8	constant-or-data	yes	-
COMBAT_SCREEN	42	constant-or-data	yes	-
COMBAT_SPELL	261	constant-or-data	yes	-
CONTAINER_CONSOLIDATE_IDENTICAL_ITEMS	19	constant-or-data	yes	-
CONTAINER_DOODAD_ID	8	constant-or-data	yes	-
CONTAINER_DOUBLE_CLICK	18	constant-or-data	yes	-
CONTAINER_NO_EMPTY_SPOTS	15	constant-or-data	yes	-
CONTAINER_RIGHT_CLICK	12	constant-or-data	yes	-
CONTAINER_SELECTED_BITS	11	constant-or-data	yes	-
CONTAINER_SELECTED_X	16	constant-or-data	yes	-
CONTAINER_SELECTED_Y	16	constant-or-data	yes	-
COW	8	constant-or-data	yes	-
CR1	50	script-definition	no	-
CR1_GEN	27	script-definition	no	-
CR2	56	script-definition	no	-
CR2_GEN	27	script-definition	no	-
CR3	65	script-definition	no	-
CR3_GEN	18	script-definition	no	-
CR4	58	script-definition	no	-
CR4_ANI	11	script-definition	no	-
CR4_FLY	17	script-definition	no	-
CR4_WEP	14	script-definition	no	-
CR5	56	constant-or-data	yes	-
CR5_GEN	10	script-definition	no	-
CRYSTALS	282	script-definition	no	-
CSMALL1	2	script-definition	no	-
CSMALL2	2	script-definition	no	-
CSMALLS	6	script-definition	no	-
CURRENT	692	constant-or-data	yes	-
CURSORS_AIR_SPELL_VALID	2	constant-or-data	yes	-
CURSORS_ATTACK_MODE	21	constant-or-data	yes	-
CURSORS_ATTACK_VALID	1	constant-or-data	yes	-
CURSORS_CHAOS_SPELL_VALID	2	constant-or-data	yes	-
CURSORS_DEATH_SPELL_VALID	2	constant-or-data	yes	-
CURSORS_EARTH_SPELL_VALID	2	constant-or-data	yes	-
CURSORS_FIRE_SPELL_VALID	2	constant-or-data	yes	-
CURSORS_LIFE_SPELL_VALID	3	constant-or-data	yes	-
CURSORS_ORDER_SPELL_VALID	2	constant-or-data	yes	-
CURSORS_POINTER	128	constant-or-data	yes	-
CURSORS_POINTER_INVALID	95	constant-or-data	yes	-
CURSORS_SUBDUE_ATTACK_VALID	1	constant-or-data	yes	-
CURSORS_WATER_SPELL_VALID	2	constant-or-data	yes	-
Caster_mod	108	script-definition	no	-
DARK_ELF	28	constant-or-data	yes	-
DEATH	768	constant-or-data	yes	-
DEATH_ENC_CAV	1	script-definition	no	-
DEATH_ENC_CHAMP	1	script-definition	no	-
DEATH_ENC_CR1	1	script-definition	no	-
DEATH_ENC_CR2	1	script-definition	no	-
DEATH_ENC_CR3	1	script-definition	no	-
DEATH_ENC_CR4	1	script-definition	no	-
DEATH_ENC_CR5	1	script-definition	no	-
DEATH_ENC_FIT	2	script-definition	no	-
DEATH_ENC_INF	1	script-definition	no	-
DEATH_ENC_MIS	1	script-definition	no	-
DEATH_ENC_THF	2	script-definition	no	-
DEATH_ENC_WIZ	2	script-definition	no	-
DEFEND	2	constant-or-data	yes	-
DEFENDER_ARMY	134	constant-or-data	yes	-
DEFEND_SPELL_TYPE	3	constant-or-data	yes	-
DIE	165	constant-or-data	yes	-
DIPLO_BARTER_EFFECT	2	constant-or-data	yes	-
DIPLO_COMBAT_EFFECT	2	constant-or-data	yes	-
DIPLO_ME	6	constant-or-data	yes	-
DIPLO_PLAYER1	6	constant-or-data	yes	-
DIPLO_PLAYER1_VALUE	2	constant-or-data	yes	-
DIPLO_PLAYER2	6	constant-or-data	yes	-
DIPLO_PLAYER2_VALUE	2	constant-or-data	yes	-
DIPLO_TIME_EFFECT	2	constant-or-data	yes	-
DISPLAYING_BUILDING_INFO	5	script-definition	no	-
DISPLAYING_BUILD_BUILDING	5	script-definition	no	-
DISPLAYING_BUY_POTION	10	script-definition	no	-
DISPLAYING_SELECTION_MODE	4	constant-or-data	yes	-
DISPLAYING_TRADE	10	script-definition	no	-
DISPLAYING_UNITINFO_MODE	7	constant-or-data	yes	-
DISPLAYING_UNIT_INFO	5	script-definition	no	-
DISPLAYING_UPGRADEBUILDING	5	script-definition	no	-
DISP_ALE	14	constant-or-data	yes	-
DISP_CRYSTAL	14	constant-or-data	yes	-
DISP_FAME	6	constant-or-data	yes	-
DISP_GOLD	14	constant-or-data	yes	-
DISP_INIT	6	constant-or-data	yes	-
DISP_POWER	4	constant-or-data	yes	-
DISP_POWER_LOWER	4	constant-or-data	yes	-
DISP_POWER_MAX	4	constant-or-data	yes	-
DISP_POWER_UPPER	4	constant-or-data	yes	-
DISP_PROD_ALE	6	constant-or-data	yes	-
DISP_PROD_CRYSTAL	6	constant-or-data	yes	-
DISP_PROD_FAME	6	constant-or-data	yes	-
DISP_PROD_GOLD	6	constant-or-data	yes	-
DROP_CLICK	13	constant-or-data	yes	-
DROP_DIFFERENT_CONTAINERS	22	constant-or-data	yes	-
DROP_SAME_SPOT	2	constant-or-data	yes	-
DROP_SWAP_SPOT	11	constant-or-data	yes	-
DUNGEON_COMBAT	2	constant-or-data	yes	-
DWARF_UNITS	1	script-definition	no	-
DefenderString	2	script-definition	no	-
EARTH	654	constant-or-data	yes	-
EARTH_ENC_CAV	1	script-definition	no	-
EARTH_ENC_CHAMP	1	script-definition	no	-
EARTH_ENC_CR1	1	script-definition	no	-
EARTH_ENC_CR2	1	script-definition	no	-
EARTH_ENC_CR3	1	script-definition	no	-
EARTH_ENC_CR4	1	script-definition	no	-
EARTH_ENC_CR5	1	script-definition	no	-
EARTH_ENC_FIT	2	script-definition	no	-
EARTH_ENC_INF	1	script-definition	no	-
EARTH_ENC_MIS	1	script-definition	no	-
EARTH_ENC_THF	2	script-definition	no	-
EARTH_ENC_WIZ	2	script-definition	no	-
EASY_LEVEL	45	constant-or-data	yes	-
EDITBOX_AUTO_SCROLL	1	constant-or-data	yes	-
EDITBOX_NOSCROLL	5	constant-or-data	yes	-
EDITBOX_SCROLL	1919	constant-or-data	yes	-
EDITBOX_VCENTER	218	constant-or-data	yes	-
EDITBOX_WANTS_ARROWS	1	constant-or-data	yes	-
EDITMODE_DOWN_TX	9	constant-or-data	yes	-
EDITMODE_DOWN_TY	9	constant-or-data	yes	-
EDITMODE_EVENT_TYPE	3	constant-or-data	yes	-
EDITMODE_LEFT_CLICK	3	constant-or-data	yes	-
EDITMODE_MOVE_WHILE_UP	3	constant-or-data	yes	-
EDITMODE_RIGHT_CLICK	3	constant-or-data	yes	-
ELE	9	constant-or-data	yes	-
ELF	21	constant-or-data	yes	-
ENC_CAV	2	script-definition	no	-
ENC_CHAMP	66	script-definition	no	-
ENC_CR1	1	script-definition	no	-
ENC_CR4	129	script-definition	no	-
ENC_INF	2	script-definition	no	-
ENC_MIS	313	script-definition	no	-
ENC_RANDOM_MELEE	120	script-definition	no	-
FAITHSELECT_SCREEN	3	constant-or-data	yes	-
FAME	112	script-definition	no	-
FATE_UNKNOWN	5	constant-or-data	yes	-
FIRE	597	constant-or-data	yes	-
FIRE_ENC_CAV	1	script-definition	no	-
FIRE_ENC_CHAMP	1	script-definition	no	-
FIRE_ENC_CR1	1	script-definition	no	-
FIRE_ENC_CR2	1	script-definition	no	-
FIRE_ENC_CR3	1	script-definition	no	-
FIRE_ENC_CR4	1	script-definition	no	-
FIRE_ENC_CR5	1	script-definition	no	-
FIRE_ENC_FIT	2	script-definition	no	-
FIRE_ENC_INF	1	script-definition	no	-
FIRE_ENC_MIS	1	script-definition	no	-
FIRE_ENC_THF	2	script-definition	no	-
FIRE_ENC_WIZ	2	script-definition	no	-
FIT	43	script-definition	no	-
FIT1	2	script-definition	no	-
FIT2	2	script-definition	no	-
FITS	2	script-definition	no	-
FIT_GEN	22	script-definition	no	-
FLAG_ACTION_CITY_SELECTED	12	constant-or-data	yes	-
FLAG_ACTION_CITY_UNSELECTED	42	constant-or-data	yes	-
FLAG_ACTION_UNIT_UNSELECTED	4	constant-or-data	yes	-
FOOD	284	script-definition	no	-
FT2	46	constant-or-data	yes	-
FYI_TEXT_ARRAY	1	script-definition	no	-
GAT	21	constant-or-data	yes	-
GENERAL_SPELL_TYPE	3	constant-or-data	yes	-
GENERIC_PROC_CANT_INTERROGATE_MESSAGE	1	constant-or-data	yes	-
GENERIC_PROC_CANT_TORTURE_MESSAGE	1	constant-or-data	yes	-
GENERIC_PROC_CAST_BREATH_GET_SPELL_ID	1	constant-or-data	yes	-
GENERIC_PROC_GET_SIR_TEXT	1	constant-or-data	yes	-
GENERIC_PROC_HYDRA_DAMAGE	1	constant-or-data	yes	-
GENERIC_PROC_HYDRA_GET_AURA2	1	constant-or-data	yes	-
GENERIC_PROC_HYDRA_GET_AURA2B	1	constant-or-data	yes	-
GENERIC_PROC_HYDRA_GET_AURA3	1	constant-or-data	yes	-
GENERIC_PROC_HYDRA_GET_AURA3B	1	constant-or-data	yes	-
GENERIC_PROC_MINIMUM_KNOWLEDGE_POL	1	constant-or-data	yes	-
GENERIC_PROC_OPEN_CITY_GATE	1	constant-or-data	yes	-
GENERIC_PROC_SET_UNIT_LEVEL_MODIFICATION	1	constant-or-data	yes	-
GENERIC_PROC_SPIT_WEB_GET_SPELL_ID	1	constant-or-data	yes	-
GENERIC_PROC_TELEPORT_ARTIFACTS	1	constant-or-data	yes	-
GET	21	native-host-call	yes	0x004ca590
GET_ARMY_IN_BUILDING	1	constant-or-data	yes	-
GET_HIT	6	constant-or-data	yes	-
GHOST_DRAW_AS_SHADOW	4	constant-or-data	yes	-
GHOST_NEEDS_SAME_FACING	4	constant-or-data	yes	-
GIVE	25	constant-or-data	yes	-
GOA	8	constant-or-data	yes	-
GOLD	288	script-definition	no	-
GRAPHIC_TYPES	3	constant-or-data	yes	-
GREAT_TEMPLE	90	script-definition	no	-
HARD_LEVEL	57	constant-or-data	yes	-
HIGHLIGHT_INVALID	2	constant-or-data	yes	-
HIGHLIGHT_OTHER	2	constant-or-data	yes	-
HIGHLIGHT_SELF	2	constant-or-data	yes	-
HIST_ALL_DIED	1	constant-or-data	yes	-
HIST_ATTACKED	2	constant-or-data	yes	-
HIST_BARTER	3	constant-or-data	yes	-
HIST_BROKE_PROMISE	2	constant-or-data	yes	-
HIST_BROKE_TREATY	2	constant-or-data	yes	-
HIST_CHANGED_RANKING	2	constant-or-data	yes	-
HIST_CONQUERED_REGION	2	constant-or-data	yes	-
HIST_DEFENDED	2	constant-or-data	yes	-
HIST_KEPT_PROMISE	2	constant-or-data	yes	-
HIST_KILLED_LEADER	2	constant-or-data	yes	-
HIST_LAST_TIME	1	constant-or-data	yes	-
HIST_LOST	1	constant-or-data	yes	-
HIST_LOST_REGION	2	constant-or-data	yes	-
HIST_MADE_PROMISE	2	constant-or-data	yes	-
HIST_MADE_TREATY	2	constant-or-data	yes	-
HIST_TIED	1	constant-or-data	yes	-
HIST_TYPE	3	constant-or-data	yes	-
HIST_WHAT	2	constant-or-data	yes	-
HIST_WHO	2	constant-or-data	yes	-
HIST_WON	1	constant-or-data	yes	-
HUMAN	25	constant-or-data	yes	-
HUT	74	constant-or-data	yes	-
Human_Melee	1	script-definition	no	-
Human_Melee_Total	95	script-definition	no	-
Human_Missile_Total	95	script-definition	no	-
Human_Missle	1	script-definition	no	-
Human_Surv	1	script-definition	no	-
Human_player_id	2	script-definition	no	-
Human_special	1	script-definition	no	-
INACTIVE_DOORWAY	2	constant-or-data	yes	-
INF1	2	script-definition	no	-
INF2	2	script-definition	no	-
INFANTRY_CLASS	9	constant-or-data	yes	-
INFO_ARTIFACTS	6	constant-or-data	yes	-
INFO_BUILDINGS_LEVEL	2	constant-or-data	yes	-
INFO_GCAF	8	constant-or-data	yes	-
INFO_LEADER_LOCATION	2	constant-or-data	yes	-
INFO_MAP_EXPLORATION	2	constant-or-data	yes	-
INFO_MILITARY_ARTIFACTS	6	constant-or-data	yes	-
INFO_MILITARY_LOCATIONS	2	constant-or-data	yes	-
INFO_MILITARY_SPELLS	6	constant-or-data	yes	-
INFO_PRODUCTION	6	constant-or-data	yes	-
INFO_UNIT_LEVEL	4	constant-or-data	yes	-
INFS	14	script-definition	no	-
INF_GEN	27	script-definition	no	-
INITIATES	6	script-definition	no	-
INTEL_MESSAGE_BARTER	14	constant-or-data	yes	-
INTEL_MESSAGE_COMBAT	18	constant-or-data	yes	-
INTRO_SCREEN	2	constant-or-data	yes	-
ITEM_CATEGORY	20	constant-or-data	yes	-
ITEM_DOODAD_ID	12	constant-or-data	no	-
ITEM_GRAPHIC_ID	125	constant-or-data	yes	-
ITEM_QTY	107	constant-or-data	yes	-
ITEM_UNIQUE_ID	189	constant-or-data	yes	-
Introstrings	1	script-definition	no	-
JUST_CENTER	753	constant-or-data	yes	-
JUST_LEFT	471	constant-or-data	yes	-
JUST_RIGHT	700	constant-or-data	yes	-
KEEP	181	constant-or-data	yes	-
KILLED_ATTACKER	14	constant-or-data	yes	-
KILLED_DEFENDER	14	constant-or-data	yes	-
LD1	20	constant-or-data	yes	-
LD2	19	constant-or-data	yes	-
LD3	11	constant-or-data	yes	-
LDF	47	constant-or-data	yes	-
LDR	18	script-definition	no	-
LDT	37	constant-or-data	yes	-
LDW	41	constant-or-data	yes	-
LESSER_FIRE_GIANT	13	constant-or-data	yes	-
LESSER_STONE_GIANT	18	constant-or-data	yes	-
LESSER_STORM_GIANT	18	constant-or-data	yes	-
LIBRARY	36	constant-or-data	yes	-
LIFE	577	constant-or-data	yes	-
LIFE_ENC_CAV	1	script-definition	no	-
LIFE_ENC_CHAMP	1	script-definition	no	-
LIFE_ENC_CR1	1	script-definition	no	-
LIFE_ENC_CR2	1	script-definition	no	-
LIFE_ENC_CR3	1	script-definition	no	-
LIFE_ENC_CR4	1	script-definition	no	-
LIFE_ENC_CR5	1	script-definition	no	-
LIFE_ENC_FIT	2	script-definition	no	-
LIFE_ENC_INF	1	script-definition	no	-
LIFE_ENC_MIS	1	script-definition	no	-
LIFE_ENC_THF	2	script-definition	no	-
LIFE_ENC_WIZ	2	script-definition	no	-
LIMIT_DRAGGING	4	constant-or-data	yes	-
